LVA-Nr.,LVA-Titel,Typ,Art,LeiterIn,Sem.,ECTS,SSt.,Nächster Termin,max_students,registered_students,no_dates_total,Abhaltungssprache_subinfo,Institut,E-Mail,Ausbildungslevel,Studienfachbereich,Anbietende Uni,Quellcurriculum,Beurteilungskriterien,Lehrmethoden,Abhaltungssprache_studyhandbook,Literatur,Lehrinhalte wechselnd?,Sonstige Informationen,Studienfach
371.000,Einführung in den Maschinenbau,VL,Präsenz,Klaus Zeman,2024S,"3,00","2,0",Letzter Termin vorbei,150,148,27.0,German,I. Mechatr. Produktentw. u. Fertigung,klaus.zeman@jku.at,B1 - Bachelor 1. Jahr,Maschinenbau,Johannes Kepler Universität Linz,Bachelorstudium Maschinenbau 2022W,schriftliche Prüfung,"Frontalunterricht, Erklären der theoretischen Grundlagen anhand eines Skriptums und Beispielen",Deutsch,Skriptum bzw. entsprechende Unterlagen werden zur Verfügung gestellt.,Nein,keine,Pflichtfächer
239.124,Einführung in die Makroökonomie,IK,Präsenz,Maximilian Böck,2024S,"3,00","2,0",Letzter Termin vorbei,40,14,6.0,German,I. Volkswirtschaftslehre,,B1 - Bachelor 1. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften 2020W 2020W,"""Vorlesungsprüfung"" als schriftliche Prüfung(en):Zwei Klausuren (Multiple Choice-Fragen)Zumindest an einer der beiden Klausuren muss teilgenommen werden. 
Die bessere der Noten auf die beiden Klausuren bzw. die eine absolvierte Klausur wird gewertet. 
50 Prozent der Aufgaben müssen richtig sein, um eine positive Note zu bekommen. 
Intelligentes Fragenstellen und gute Diskussionsbeiträge werden durch Mitarbeitspunkte honoriert; sie können die Note verbessern, aber nicht das Durchkommen retten. ","Die Studierenden bereiten ein Lehrbuchkapitel vor. 
Der Lektor präsentiert die wichtigsten Inhalte im Kurs und macht Verweise auf die Praxis. 
Die Studierenden sollen durch Fragenstellen jedwede Unklarheit ausräumen. ",Deutsch,"Blanchard, Olivier / Amighini, Alessia / Giavazzi, Francesco (2010), Macroeconomics – A European Perspective. Harlow (UK) etc.: Prentice Hall (Pearson Education), see 
http://www.pearsoned.co.uk/bookshop/detail.asp?item=100000000300737",Nein,,Wahlfächer
239.125,Einführung in die Makroökonomie,IK,Präsenz,Benjamin Karner,2024S,"3,00","2,0",Letzter Termin vorbei,40,42,11.0,German,I. Volkswirtschaftslehre,,B1 - Bachelor 1. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften 2020W 2020W,"""Vorlesungsprüfung"" als schriftliche Prüfung(en):Zwei Klausuren (Multiple Choice-Fragen)Zumindest an einer der beiden Klausuren muss teilgenommen werden. 
Die bessere der Noten auf die beiden Klausuren bzw. die eine absolvierte Klausur wird gewertet. 
50 Prozent der Aufgaben müssen richtig sein, um eine positive Note zu bekommen. 
Intelligentes Fragenstellen und gute Diskussionsbeiträge werden durch Mitarbeitspunkte honoriert; sie können die Note verbessern, aber nicht das Durchkommen retten. ","Die Studierenden bereiten ein Lehrbuchkapitel vor. 
Der Lektor präsentiert die wichtigsten Inhalte im Kurs und macht Verweise auf die Praxis. 
Die Studierenden sollen durch Fragenstellen jedwede Unklarheit ausräumen. ",Deutsch,"Blanchard, Olivier / Amighini, Alessia / Giavazzi, Francesco (2010), Macroeconomics – A European Perspective. Harlow (UK) etc.: Prentice Hall (Pearson Education), see 
http://www.pearsoned.co.uk/bookshop/detail.asp?item=100000000300737",Nein,,Wahlfächer
239.126,Einführung in die Makroökonomie,IK,Präsenz,Benjamin Karner,2024S,"3,00","2,0",Letzter Termin vorbei,40,35,11.0,German,I. Volkswirtschaftslehre,,B1 - Bachelor 1. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften 2020W 2020W,"""Vorlesungsprüfung"" als schriftliche Prüfung(en):Zwei Klausuren (Multiple Choice-Fragen)Zumindest an einer der beiden Klausuren muss teilgenommen werden. 
Die bessere der Noten auf die beiden Klausuren bzw. die eine absolvierte Klausur wird gewertet. 
50 Prozent der Aufgaben müssen richtig sein, um eine positive Note zu bekommen. 
Intelligentes Fragenstellen und gute Diskussionsbeiträge werden durch Mitarbeitspunkte honoriert; sie können die Note verbessern, aber nicht das Durchkommen retten. ","Die Studierenden bereiten ein Lehrbuchkapitel vor. 
Der Lektor präsentiert die wichtigsten Inhalte im Kurs und macht Verweise auf die Praxis. 
Die Studierenden sollen durch Fragenstellen jedwede Unklarheit ausräumen. ",Deutsch,"Blanchard, Olivier / Amighini, Alessia / Giavazzi, Francesco (2010), Macroeconomics – A European Perspective. Harlow (UK) etc.: Prentice Hall (Pearson Education), see 
http://www.pearsoned.co.uk/bookshop/detail.asp?item=100000000300737",Nein,,Wahlfächer
239.300,Einführung in die Makroökonomie,IK,Präsenz,Johannes Lukas,2024S,"3,00","2,0",Letzter Termin vorbei,40,37,7.0,German,I. Volkswirtschaftslehre,,B1 - Bachelor 1. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften 2020W 2020W,"""Vorlesungsprüfung"" als schriftliche Prüfung(en):Zwei Klausuren (Multiple Choice-Fragen)Zumindest an einer der beiden Klausuren muss teilgenommen werden. 
Die bessere der Noten auf die beiden Klausuren bzw. die eine absolvierte Klausur wird gewertet. 
50 Prozent der Aufgaben müssen richtig sein, um eine positive Note zu bekommen. 
Intelligentes Fragenstellen und gute Diskussionsbeiträge werden durch Mitarbeitspunkte honoriert; sie können die Note verbessern, aber nicht das Durchkommen retten. ","Die Studierenden bereiten ein Lehrbuchkapitel vor. 
Der Lektor präsentiert die wichtigsten Inhalte im Kurs und macht Verweise auf die Praxis. 
Die Studierenden sollen durch Fragenstellen jedwede Unklarheit ausräumen. ",Deutsch,"Blanchard, Olivier / Amighini, Alessia / Giavazzi, Francesco (2010), Macroeconomics – A European Perspective. Harlow (UK) etc.: Prentice Hall (Pearson Education), see 
http://www.pearsoned.co.uk/bookshop/detail.asp?item=100000000300737",Nein,,Wahlfächer
259.002,Einführung in die Softwareentwicklung mit Python,VL,Präsenz,Iris Groher,2024S,"3,00","2,0",Letzter Termin vorbei,200,223,11.0,German,I. WI Software Engineering,iris.groher@jku.at,B2 - Bachelor 2. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre 2021W,Kumulative Modulprüfung,"Folienvortrag mit Beispielen an der Tafel, Distance Learning",Deutsch / English,Wird in der Lehrveranstaltung bekannt gegeben,Nein,(*)Attending the exercise (Uebung) connected with this lecture in the same semester is obligatory.,Wahlfächer
243.115,Einführung in die Wirtschaftswissenschaften für Juristinnen und Juristen,KV,Präsenz,René Andeßner,2024S,"6,00","6,0",Letzter Termin vorbei,200,135,22.0,German,I. Public and Nonprofit Management,jurbwl@jku.at,D - Diplom,Rechtswissenschaften,Johannes Kepler Universität Linz,Diplomstudium Rechtswissenschaften 2024W,Schriftliche Klausur,"Vortrag durch die LVA-LeiterInnen
Diskussion von Fällen und Beispielen
Begleitendes Selbststudium",Deutsch,"In der jeweils aktuellen Auflage:
Schauer, Reinbert, Betriebswirtschaftslehre, Grundlagen, 
Pernsteiner, Helmut/Andeßner, René, Finanzmanagement kompakt,
Messner, Stephanie, C1. Buchhaltung, Bilanzierung und Bilanzanalyse, in: Messner, Stephanie/Kreidl, Christian/Wala,  Thomas (Hrsg.), Grundlagen der Betriebswirtschaftslehre, 4. Auflage, Wien 2014, S. 95-132.
Von den genannten Büchern sind nur bestimmte Teile lehrveranstaltungsrelevant, genauere Hinweise zur Handhabung der Literatur werden am Beginn der Lehrveranstaltung gegeben.",Nein,,Zweiter Studienabschnitt
325.004,Einführung in die Zahlentheorie,VO,Präsenz,Friedrich Pillichshammer,2024S,"3,00","2,0",Mi. 30.10.24 08:30 - 10:00,30,20,14.0,German,I. Finanzmath. u. Angew. Zahlentheorie,,B3 - Bachelor 3. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Technische Mathematik 2023W,Schriftliche Prüfung,,Deutsch,Skriptum,Nein,,Wahlfächer
362.064,Elektrische Maschinen,UE,Präsenz,Thomas Krainer,2024S,"1,50","1,0",Letzter Termin vorbei,35,20,9.0,German,I. Elektr. Antriebe u. Leistungselektr.,thomas.krainer@jku.at,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2021W,Schriftliche Klausur,,Deutsch,,Nein,keine,Pflichtfächer
362.065,Elektrische Maschinen,UE,Präsenz,Stefan Mallinger,2024S,"1,50","1,0",Letzter Termin vorbei,35,33,9.0,German,I. Elektr. Antriebe u. Leistungselektr.,stefan.mallinger@jku.at,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2021W,Schriftliche Klausur,,Deutsch,,Nein,keine,Pflichtfächer
362.066,Elektrische Maschinen,UE,Präsenz,Christoph Dobler,2024S,"1,50","1,0",Letzter Termin vorbei,35,21,9.0,German,I. Elektr. Antriebe u. Leistungselektr.,christoph.dobler@jku.at,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2021W,Schriftliche Klausur,,Deutsch,,Nein,keine,Pflichtfächer
362.068,Elektrische Maschinen und Antriebselektronik,UE,Präsenz,Stefan Mallinger,2024S,"1,50","1,0",Letzter Termin vorbei,35,27,8.0,German,I. Elektr. Antriebe u. Leistungselektr.,stefan.mallinger@jku.at,B2 - Bachelor 2. Jahr,Informationselektronik,Johannes Kepler Universität Linz,Bachelorstudium Elektronik und Informationstechnik (ELIT) 2023W,Schriftliche Klausur,Durchrechnen von Beispielen,"Deutsch, im Bedarfsfall Englisch",,Nein,,Pflichtfächer
362.073,Elektrische Maschinen und Antriebselektronik,UE,Präsenz,Gabriel Weissitsch,2024S,"1,50","1,0",Letzter Termin vorbei,35,11,8.0,German,I. Elektr. Antriebe u. Leistungselektr.,gabriel.weissitsch@jku.at,B2 - Bachelor 2. Jahr,Informationselektronik,Johannes Kepler Universität Linz,Bachelorstudium Elektronik und Informationstechnik (ELIT) 2023W,Schriftliche Klausur,Durchrechnen von Beispielen,"Deutsch, im Bedarfsfall Englisch",,Nein,,Pflichtfächer
340.400,Embedded and Pervasive Systems,VO,Präsenz,Alois Ferscha,2024S,"3,00","2,0",Do. 21.11.24 08:30 - 10:00,200,140,14.0,German,I. Pervasive Computing,teaching@pervasive.jku.at,B3 - Bachelor 3. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik 2021S,Klausur am Semesterende,Foliengestützter Vortrag ,Deutsch,Folien werden im Kursbereich in Moodle zur Verfügung gestellt. Ergänzende Literatur wird in der Lehrveranstaltung bekannt gegeben.,Nein,https://www.jku.at/institut-fuer-pervasive-computing/,Systeme
346.202,Exercises in Physical Chemistry II,UE,Präsenz,Elisabeth Leeb,2024S,"1,50","1,0",Letzter Termin vorbei,25,26,12.0,English,I. Physikalische Chemie,elisabeth.leeb@jku.at,B2 - Bachelor 2. Jahr,Chemie,Johannes Kepler Universität Linz,Bachelorstudium Chemistry and Chemical Technology 2021W,"(*)written exam, attendance, homework","(*)mathematical calculations of examples, questions during the course",Englisch,"(*)Physikalische Chemie II&III, Gordon M. Barrow, Bohmann-Vieweg, 3rd edition, 1976/1977.
Atkins’ Physical Chemistry, Peter Atkins, Julio de Paula, James Keeler, Oxford University Press; 11th edition, 2017.
Physical Chemistry, Engel and Reid, Pearson Education, 2005 ISBN 080533842X
Chemical bonding, Mark J. Winter, Oxford Chemistry Primers, 2nd edition, 2016.
Introduction to Quantum Theory and Atomic Structure, P. A. Cox, Oxford Chemistry Primers, 1996.",Nein,,(*)Physical Chemistry
346.203,Exercises in Physical Chemistry II,UE,Präsenz,Elisabeth Leeb,2024S,"1,50","1,0",Letzter Termin vorbei,25,26,12.0,English,I. Physikalische Chemie,elisabeth.leeb@jku.at,B2 - Bachelor 2. Jahr,Chemie,Johannes Kepler Universität Linz,Bachelorstudium Chemistry and Chemical Technology 2021W,"(*)written exam, attendance, homework","(*)mathematical calculations of examples, questions during the course",Englisch,"(*)Physikalische Chemie II&III, Gordon M. Barrow, Bohmann-Vieweg, 3rd edition, 1976/1977.
Atkins’ Physical Chemistry, Peter Atkins, Julio de Paula, James Keeler, Oxford University Press; 11th edition, 2017.
Physical Chemistry, Engel and Reid, Pearson Education, 2005 ISBN 080533842X
Chemical bonding, Mark J. Winter, Oxford Chemistry Primers, 2nd edition, 2016.
Introduction to Quantum Theory and Atomic Structure, P. A. Cox, Oxford Chemistry Primers, 1996.",Nein,,(*)Physical Chemistry
531.240,Geometrie,UV,Präsenz,Bert Jüttler,2024S,"3,00","3,0",Letzter Termin vorbei,25,30,33.0,German,A. MINT Didaktik,"bert.juettler@jku.at, katharina.rittenscho@ph-linz.at",,,,,,,,,,,Not available
531.241,Geometrie,UV,Präsenz,Bert Jüttler,2024S,"3,00","3,0",Letzter Termin vorbei,25,10,33.0,German,A. MINT Didaktik,"bert.juettler@jku.at, katharina.rittenscho@ph-linz.at",,,,,,,,,,,Not available
531.242,Geometrie,UV,Präsenz,Bert Jüttler,2024S,"3,00","3,0",Letzter Termin vorbei,25,14,33.0,German,A. MINT Didaktik,"bert.juettler@jku.at, katharina.rittenscho@ph-linz.at",,,,,,,,,,,Not available
243.001,Grundkurs Public und Nonprofit Management,KS,Präsenz,Sandra Stötzer,2024S,"6,00","4,0",Letzter Termin vorbei,100,72,11.0,German,I. Public and Nonprofit Management,,B2 - Bachelor 2. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre 2023W,Schriftliche Klausur,Vortrag durch die Lehrenden; Selbststudium der Basisliteratur; gegebenenfalls Gastvortrag,Deutsch,"Schauer, Reinbert (2019), Öffentliche Betriebswirtschaftslehre – Public Management, 4. Auflage, Wien.
Schauer, Reinbert (2016), Rechnungswesen in öffentlichen Verwaltungen, 3. Auflage, Wien. 
Lichtsteiner, Hans/Gmür, Markus/Giroud, Charles/Schauer, Reinbert (2020), Das Freiburger Management-Modell für Nonprofit-Organisationen, 9. Auflage, Bern/Stuttgart/Wien. 
Andeßner, René Clemens (2004), Integriertes Potentialmanagement in Nonprofit-Organisationen, Linz. 
Weitere Literatur zur Public Governance wird im Kurs bekannt gegeben.",Nein,,Wahlfächer
360.001,Grundzüge der Thermofluiddynamik,VL,Präsenz,Philipp Gittler,2024S,"4,50","3,0",Fr. 06.12.24 13:45 - 17:00,200,121,29.0,German,I. Strömungslehre u. Wärmeübertragung,office.fluid@jku.at,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2022W,Schriftliche und/oder mündliche Prüfung,Vortrag anhand eines Skriptums,Deutsch,"W. Schneider: Repetitorium Thermodynamik, Oldenburg Verlag, 1996.
H. Herwig, C.H. Kautz: Technische Thermodynamik, Paerson 2007.
F. Bosnjakovic: Technische Thermodynamik, Steinkopff Verlag, 1988.
A. Kluwick: Grundlagen der Strömungslehre, Skripten der TU-Wien, 1996.
J. Zierep, K. Bühler: Grundzüge der Strömungslehre, Springer, 2013.
E. Becker, E. Piltz: Technische Strömungslehre, Teubner, 1993. ",Nein,begleitende Übung,Pflichtfächer
364.046,Information Displays,VO,Präsenz,Oliver Bimber,2024S,"3,00","2,0",Letzter Termin vorbei,500,114,13.0,English,I. für Computergrafik,oliver.bimber@jku.at,M1 - Master 1. Jahr,Informatik,Johannes Kepler Universität Linz,Masterstudium Computer Science 2023W,"(*)< 15 exam registrations - oral exam
> 15 exam registrations - eExam (on-site)",(*)Slide presentation,Englisch,"(*)Displays: Fundamentals and Applications, Rolf R. Hainich and Oliver Bimber, CRC Press ",Nein,,(*)Area of Specialization
256.300,Informationsmanagement,VL,Präsenz,Michaela Trierweiler,2024S,"3,00","2,0",Letzter Termin vorbei,200,100,4.0,German,I. WI Information Engineering,,B2 - Bachelor 2. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftsinformatik 2024W,Schriftliche Klausur,Siehe  Informationsmanagement,Deutsch,Siehe  Informationsmanagement,Nein,,Information Engineering
531.413,Ingenieurmathematik,UV,Präsenz,Jan-Michael Holzinger,2024S,"2,00","2,0",Letzter Termin vorbei,25,9,15.0,German,A. MINT Didaktik,jan-michael.holzinger@jku.at,,,,,,,,,,,Not available
347.354,Introduction to Genetics,VL,Präsenz,Michael Breitenbach,2024S,"1,50","1,0",Letzter Termin vorbei,180,179,5.0,English,I. Organische Chemie,,B1 - Bachelor 1. Jahr,Biologische Chemie,Johannes Kepler Universität Linz,Bachelorstudium Biological Chemistry 2019W,(*)Written Exam,(*)Lecture,Englisch,"(*)Griffiths et al. An Introduction to genetic analysis, Freeman, NY, 2000
Lodish et al. Molecular cell biology, Freeman, NY, 2016
Alberts et al. Molecular biology of the cell, Garland, NY, 2015
And the corresponding newer editions of all three books",Nein,,(*)Electives
239.527,Introduction to Macroeconomics,KS,Präsenz,Jochen Güntner,2024S,"3,00","2,0",Letzter Termin vorbei,100,87,13.0,English,I. Volkswirtschaftslehre,,B1 - Bachelor 1. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium International Business Administration 2021W,"(*)Written final exam, written retake exam","(*)Calculus, graphical analysis and interpretation, logical reasoning",Englisch,"(*)Textbook: Olivier Blanchard, Macroeconomics (Global Edition), 8th edition, Pearson Education Limited ",Nein,,(*)Economics
249.443,Investmentanalyse und Risikomanagement,KS,Präsenz,Johann Burgstaller,2024S,"3,00","2,0",Letzter Termin vorbei,100,24,12.0,German,A. Asset Management,johann.burgstaller@jku.at,B2 - Bachelor 2. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre 2021W,Klausur und interaktives Element.,"Vortrag, Diskussion.",Deutsch,"Bodie, Z., Kane, A., Marcus, A.J. (2014), Investments, 10. Auflage, McGraw-Hill.
Ergänzungsliteratur wird in der Lehrveranstaltung bekanntgegeben.",Nein,,Wahlfächer 2. Studienabschnitt
136.309,Kriminologie/Abweichendes Verhalten,VL,Präsenz,Helmut Hirtenlehner,2024S,"3,00","2,0",Letzter Termin vorbei,170,98,12.0,German,I. Strafrechtswissenschaften,,D - Diplom,Sozialwissenschaften,Johannes Kepler Universität Linz,Diplomstudium Rechtswissenschaften 2024W,"Die Beurteilung erfolgt auf Grundlage von Klausuren, schriftlichen (Online-)Tests, Hausübungen, mündlichen Prüfungen und/oder Mitarbeit in der Lehrveranstaltung. Die genauen Beurteilungskriterien werden zu Beginn der Lehrveranstaltung bekanntgegeben.",Vortrag,Deutsch,"In der aktuellen Fassung:
Kunz, Kriminologie",Nein,,Zweiter Studienabschnitt
531.120,Lineare Algebra I,VO,Präsenz,Erhard Aichinger,2024S,"4,00","4,0",Letzter Termin vorbei,125,102,27.0,German,A. MINT Didaktik,erhard.aichinger@jku.at,,,,,,,,,,,Not available
368.102,Lineare Algebra und Analytische Geometrie 2,VO,Präsenz,Manuel Kauers,2024S,"7,50","5,0",Letzter Termin vorbei,120,43,36.0,German,I. Algebra,,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Technische Mathematik 2023W,Schriftliche Prüfungen. ,,Deutsch,Wird vom jeweiligen LVA-Leiter bekanntgegeben.,Nein,,Pflichtfächer
239.506,Marktwirtschaft und Staat,IK,Präsenz,Mario Lackner,2024S,"3,00","2,0",Letzter Termin vorbei,40,41,13.0,German,A. Arbeitsmarktökonomie,,B1 - Bachelor 1. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften 2020W 2020W,"Klausur 
Vorbereitung und Präsentation von Hausübungsbeispielen","Vortrag durch die/den Lehrenden
Diskussion zu bestimmten Themen
Präsentation von Hausübungsbeispielen durch die Studierenden",Deutsch,"Skriptum zum Kurs ""Marktwirtschaft und Staat""
die in diesem IK verwendeten Folien",Nein,"Es wird empfohlen, diesen IK parallel zum gleichnamigen Kurs zu besuchen. 
Dieser IK baut auf dem (theoretischen) Wissen aus dem gleichnamigen Kurs auf und setzt mikroökonomische Grundkenntnissen über einen Gütermarkt aus den Kursen KS Einführung in die Volkswirtschaftslehre und/oder KS Einführung in die Mikroökonomie voraus. ",Wahlfächer
