LVA-Nr.,LVA-Titel,Typ,Art,LeiterIn,Sem.,ECTS,SSt.,Nächster Termin,max_students,registered_students,no_dates_total,Abhaltungssprache_subinfo,Institut,E-Mail,Studienfach,Ausbildungslevel,Studienfachbereich,Anbietende Uni,Quellcurriculum,Beurteilungskriterien,Lehrmethoden,Abhaltungssprache_studyhandbook,Literatur,Lehrinhalte wechselnd?,Sonstige Informationen
361.004,Control Systems,VL,Präsenz,Bernd Kolar,2024W,"3,00","2,0",Mo. 28.10.24 08:30 - 11:45,180,188,9.0,English,I. Regelungstechn. u. Prozessautomatis.,,(*)Elective Tracks,M1 - Master 1. Jahr,Artificial Intelligence,Johannes Kepler Universität Linz,Masterstudium Artificial Intelligence 2019W,(*)Exam (written or oral),(*)Slide presentations complemented by examples presented on the blackboard,Englisch,(*)Electronic course material is made available for download,Nein,"(*)Necessary prior knowledge: 
Basic knowledge in Linear Algebra (Matrices, Eigenvalues, Eigenvectors, rank, linear independence, linear equations....)
Basic knowledge of differential equations"
361.030,Control Systems für Maschinenbau,VL,Präsenz,Bernd Kolar,2024W,"3,00","2,0",Mo. 28.10.24 08:30 - 11:45,30,30,8.0,German,I. Regelungstechn. u. Prozessautomatis.,,Pflichtfächer,B2 - Bachelor 2. Jahr,Maschinenbau,Johannes Kepler Universität Linz,Bachelorstudium Maschinenbau 2021W,(*)Exam (written or oral) ,(*)Slide presentations complemented by examples presented on the blackboard ,English,(*)Electronic course material is made available for download ,Nein,
367.120,Datenbanken und Informationssysteme 2,VL,Präsenz,Werner Retschitzegger,2024W,"3,00","2,0",Di. 12.11.24 08:30 - 11:45,220,169,12.0,German,A. Kooperative Informationssysteme,werner.retschitzegger@jku.at,Anwendungen,B2 - Bachelor 2. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik 2021W,Klausur,Folienvortrag,Deutsch,"Gunter Saake, Kai-Uwe Sattler, Andreas Heuer: Datenbanken - Konzepte und Sprachen, MITP Verlag, 6. Auflage (2018)
Türker, C., Saake, G.: Objektrelationale Datenbanken, dpunkt.Verlag, 2005
Elliotte Rusty Harold, W. Scott Means, XML in a Nutshell: A Desktop Quick Reference, 3rd Edition, O'Reilly & Associates, 2005
Saake, G.; Heuer, A.; Sattler, K-U.: Datenbanken: Implementierungstechniken, MITP Verlag, 4. Auflage, 2019",Nein,http://www.cis.jku.at
531.102,Diskrete Mathematik,VO,Präsenz,Friedrich Pillichshammer,2024W,"4,00","4,0",Mo. 28.10.24 10:15 - 11:45,125,117,30.0,German,A. MINT Didaktik,friedrich.pillichshammer@jku.at,Not available,,,,,,,,,,
239.126,Einführung in die Makroökonomie,IK,Präsenz,Benjamin Karner,2024W,"3,00","2,0",Mo. 28.10.24 19:00 - 20:30,40,35,10.0,German,I. Volkswirtschaftslehre,,Wahlfächer,B1 - Bachelor 1. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften 2020W 2020W,"""Vorlesungsprüfung"" als schriftliche Prüfung(en):Zwei Klausuren (Multiple Choice-Fragen)Zumindest an einer der beiden Klausuren muss teilgenommen werden. 
Die bessere der Noten auf die beiden Klausuren bzw. die eine absolvierte Klausur wird gewertet. 
50 Prozent der Aufgaben müssen richtig sein, um eine positive Note zu bekommen. 
Intelligentes Fragenstellen und gute Diskussionsbeiträge werden durch Mitarbeitspunkte honoriert; sie können die Note verbessern, aber nicht das Durchkommen retten. ","Die Studierenden bereiten ein Lehrbuchkapitel vor. 
Der Lektor präsentiert die wichtigsten Inhalte im Kurs und macht Verweise auf die Praxis. 
Die Studierenden sollen durch Fragenstellen jedwede Unklarheit ausräumen. ",Deutsch,"Blanchard, Olivier / Amighini, Alessia / Giavazzi, Francesco (2010), Macroeconomics – A European Perspective. Harlow (UK) etc.: Prentice Hall (Pearson Education), see 
http://www.pearsoned.co.uk/bookshop/detail.asp?item=100000000300737",Nein,
239.030,Einführung in die Mikroökonomie,IK,Präsenz,Georg Schmidt,2024W,"3,00","2,0",Mo. 28.10.24 10:15 - 11:45,40,40,13.0,German,I. Volkswirtschaftslehre,,Pflichtfächer,B1 - Bachelor 1. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften 2020W 2020W,"Übungsbeispiele, Tests, Klausuren...abhängig von LV-LeiterIn","Vortrag, Übungsbeispiele, Hausübungsbeispiele...
Methoden hängen von der/dem Vortragenden ab",Deutsch / Englisch,"Pindyck / Rubinfeld, Mikroökonomie, diverse Auflagen",Nein,
259.026,Einführung in die Softwareentwicklung,VL,Präsenz,Johannes Sametinger,2024W,"3,00","2,0",Mo. 28.10.24 15:30 - 17:00,150,151,14.0,German,I. WI Software Engineering,johannes.sametinger@jku.at,Grundlagen der Informatik,B1 - Bachelor 1. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftsinformatik 2017W,Klausur,Folienvortrag mit Beispielen an der Tafel,Deutsch,"Basisliteratur: 
Mössenböck, H.: Sprechen Sie Java? Eine Einführung in das systematische Programmieren. dpunkt.verlag, Heidelberg, in der aktuellen Auflage.
Ergänzungsliteratur wird in jedem Semester bekannt gegeben.",Nein,
362.039,Entwurf elektrischer Antriebe und Aktuatoren,KV,Präsenz,Gerd Bramerdorfer,2024W,"3,00","2,0",Do. 24.10.24 13:45 - 15:15,100,14,16.0,German,I. Elektr. Antriebe u. Leistungselektr.,,Wahlfächer (Vertiefung),B3 - Bachelor 3. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2023W,Schriftliche Klausur und optionale Hausaufgaben,"Folienvortrag, selbst- und unselbständige Analyse von Komponenten elektrischer Maschinen und Aktuatoren, anlassbezogen selbständiges Studium von einführenden Videobeiträgen","Deutsch, Englisch in Ausnahmefällen","Vorlesungsfolien
Müller, Germar et al.: Elektrische Maschinen, 1. Auflage, Weinheim: Wiley-VCH Verlag, (2009)
Müller, Germar et al.: Berechnung elektrischer Maschinen, 6. Auflage, Weinheim: Wiley-VCH Verlag, (2009)
Müller, Germar et al.: Grundlagen elektrischer Maschinen, 9. Auflage, Weinheim: Wiley-VCH Verlag, (2009)
Stölting, Hans-Dieter et al.: Handbook of Fractional-Horsepower Drives, 3. Auflage, Springer Verlag, (2008)
Krause, Paul C. et al.: Introduction to modern analysis of electric machines and drives, 1. Auflage, John Wiley & Sons, (2023).",Nein,
141.020,Europarecht,VO,Präsenz,Rainer Palmstorfer,2024W,"1,50","3,0",Mi. 23.10.24 10:15 - 12:45,200,160,9.0,German,I. Europarecht,europarecht@jku.at,Wahlfächer,D - Diplom,Rechtswissenschaften,Johannes Kepler Universität Linz,Diplomstudium Rechtswissenschaften 2016W,Kein Lehrveranstaltungszeugnis; Vorbereitung für die schriftliche Fachprüfung,Praxisbasierter Vortrag mit integrierten Übungselementen,Deutsch,"Leidenmühler, Europarecht – Die Rechtsordnung der Europäischen Union, (In der aktuellen Auflage)",Nein,
249.412,Finanzmanagement kompakt,KS,Präsenz,Christoph Stöbich,2024W,"3,00","2,0",Di. 29.10.24 10:15 - 11:45,100,100,9.0,German,A. Asset Management,,Pflichtfächer,B1 - Bachelor 1. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,,,,,,,
531.553,Forschungsmethoden in Fachdidaktik Physik,SE,Präsenz,Zeynep Topdemir,2024W,"2,00","2,0",Mo. 28.10.24 13:45 - 15:15,15,6,14.0,English,A. MINT Didaktik,zeynep.topdemir@jku.at,Not available,,,,,,,,,,
146.101,Grundlagen Verfahren außer Streitsachen,KS,Präsenz,Robert Fucik,2024W,"1,00","1,0",Mi. 23.10.24 11:00 - 15:15,100,112,9.0,German,I. Zivilverfahrensrecht,zvr@jku.at,Zweiter Studienabschnitt,D - Diplom,Rechtswissenschaften,Johannes Kepler Universität Linz,Diplomstudium Rechtswissenschaften 2024W,"Lehrveranstaltungsprüfung. Die Beurteilung „mit Erfolg teilgenommen“ oder „ohne Erfolg teilgenommen“ erfolgt auf Grundlage von Klausuren, schriftlichen (Online-)Tests, Hausübungen, mündlichen Prüfungen und/oder Mitarbeit in der Lehrveranstaltung. Die genauen Beurteilungskriterien werden zu Beginn der Lehrveranstaltung bekanntgegeben.","Vortrag, interaktive bzw digitale Lehrelemente, Falllösung",Deutsch,Die jeweils aktuelle Studienliteratur wird zu Beginn der Lehrveranstaltung bekanntgegeben. Multimedia-Studium: Medienkoffer Zivilverfahrensrecht,Nein,Der positive Abschluss des Kurses wirkt sich positiv auf die Beurteilung der VU Zivilverfahrensrecht aus. Grundkenntnisse des Bürgerlichen Rechts (insbesondere aus dem Erb- und Familienrecht) werden vorausgesetzt.
250.900,Grundlagen Wissenschaftliches Arbeiten,KS,Präsenz,Markus Mottinger,2024W,"3,00","2,0",Mi. 06.11.24 16:15 - 19:45,200,89,6.0,German,I. Unternehmensrg. u. Wirtschaftsprüfung,,Wissenschaftlich Arbeiten,B1 - Bachelor 1. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre 2024W,Klausur/interaktive Elemente ,"Vortrag, Diskussion ",Deutsch oder Englisch,wird vor der Lehrveranstaltung bekannt gegeben. ,Nein,
256.200,IT-Project Engineering & Management,VL,Präsenz,Magdalena Schindl,2024W,"3,00","2,0",Di. 22.10.24 12:00 - 15:15,150,91,7.0,German,I. WI Information Engineering,magdalena.schindl@jku.at,Information Engineering,B2 - Bachelor 2. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftsinformatik 2024W,Schriftliche Klausur,Siehe  IT-Project Engineering & Management,Deutsch,Siehe  IT-Project Engineering & Management,Nein,
347.343,In-depth fundamentals of Preparative Organic Chemistry for Biological Chemistry,KV,Präsenz,Wolfgang Schöfberger,2024W,"1,50","1,0",Mi. 06.11.24 10:15 - 11:45,50,41,8.0,English,I. Organische Chemie,,(*)Organic Chemistry,B3 - Bachelor 3. Jahr,Biologische Chemie,Johannes Kepler Universität Linz,Bachelorstudium Biological Chemistry 2023W,"(*)Written tests on subchapters.
More than 50% of the periodic test must be passed positively. A final test about the entire course may be taken to improve the result.","(*)Lectures, Q/A session, exercises on paper.",Englisch,"(*)Announced/provided in the course an in the ""Laboratory Course of Preparative Organic Chemistry 1 for Biological Chemistry"".
Introduction to Strategies for Organic Synthesis, Laurie S. Starkey. JohnWiley & Sons, Hoboken,2012. 360 S., Broschur,43.90E.—ISBN 978-0470484098
Organic Chemistry, Clayden, Greeves, Warren, ISBN 978-3-642-34715-3
Organic chemistry: structure and function. Vollhardt, K. Peter C. — 5th ed. / K. Peter C. Vollhardt, Neil E. Schore. ISBN 0-7167-9949-9",Nein,"(*)The course is held in parallel to the ""Laboratory Course of Preparative Organic Chemistry for Biological Chemistry 1"" and the contents of these two courses are closely coordinated. It is therefore highly recommended that these two courses are attended in parallel within the same semester."
317.014,Inorganic Materials in High-Tech Applications,VL,Präsenz,Achim Walter Hassel,2024W,"3,00","2,0",Mo. 28.10.24 08:30 - 10:00,100,63,16.0,English,I. Chem. Techn. Anorganischer Stoffe,,(*)Chemical Technologies of Inorganic Materials,M1 - Master 1. Jahr,Chemie,Johannes Kepler Universität Linz,Masterstudium Chemistry and Chemical Technology (CCT) 2019W,"(*)Profound knowledge of the lecture content is required to answer the questions in the written exam, 10 questions with 10 points each are given where 2 consist of 5  multiple or single choice questions, other questions are divided into subquestions all aiming at different aspects of the same topic","(*)Elements are grouped by occurence or application, what ever is more appropriate from the technical view point
Principles are explained and reasoning is given for the selection of certain processes ",Englisch,"(*)Frequent participation in the lecture is required, slides of the lecture are available in KUSSS a few hours before the lecture, parts of the reactions, principles drawings and processes are explained at the board, examples of materials and devices are shown in the lecture",Nein,
237.003,Kepler Vorlesungen,VO,Präsenz,Julian Reiss,2024W,"3,00","2,0",Di. 26.11.24 12:00 - 15:15,80,46,6.0,German,I. Philosophie u. Wissenschaftstheorie,philo@jku.at,Not available,,,,,,,,,,
358.001,Konstruktionslehre,KV,Präsenz,Bernhard Manhartsgruber,2024W,"3,00","2,0",Fr. 25.10.24 08:30 - 10:00,45,43,14.0,German,I. Maschinenlehre u. Fluidtechnik,bernhard.manhartsgruber@jku.at,Mechanik und Konstruktion,B1 - Bachelor 1. Jahr,Medical Engineering,Johannes Kepler Universität Linz,Bachelorstudium Medical Engineering 2019W,"laufende Mitarbeit bei den Besprechungen/Präsentationen der Hausaufgaben
schriftliche Abschlussprüfung","Vortrag in 10 Vorlesungseinheiten, für alle Gruppen gemeinsam
Hausaufgaben in Kleingruppen zu ca. 5 Personen zu bearbeiten und in (für jede Gruppe individuellen) Besprechnungsterminen zu präsentieren","Deutsch, in Gruppenarbeit bei Bedarf Englisch","Vorlesunsgsskripten ab Oktober verfügbar
Open-Source CAD-System in der Lehrveransaltung: FreeCAD (www.freecadweb.org)",Nein,
358.003,Konstruktionslehre,KV,Präsenz,Bernhard Manhartsgruber,2024W,"3,00","2,0",Fr. 25.10.24 08:30 - 10:00,45,42,14.0,German,I. Maschinenlehre u. Fluidtechnik,bernhard.manhartsgruber@jku.at,Mechanik und Konstruktion,B1 - Bachelor 1. Jahr,Medical Engineering,Johannes Kepler Universität Linz,Bachelorstudium Medical Engineering 2019W,"laufende Mitarbeit bei den Besprechungen/Präsentationen der Hausaufgaben
schriftliche Abschlussprüfung","Vortrag in 10 Vorlesungseinheiten, für alle Gruppen gemeinsam
Hausaufgaben in Kleingruppen zu ca. 5 Personen zu bearbeiten und in (für jede Gruppe individuellen) Besprechnungsterminen zu präsentieren","Deutsch, in Gruppenarbeit bei Bedarf Englisch","Vorlesunsgsskripten ab Oktober verfügbar
Open-Source CAD-System in der Lehrveransaltung: FreeCAD (www.freecadweb.org)",Nein,
358.005,Konstruktionslehre,KV,Präsenz,Bernhard Manhartsgruber,2024W,"3,00","2,0",Fr. 25.10.24 08:30 - 10:00,45,39,14.0,German,I. Maschinenlehre u. Fluidtechnik,bernhard.manhartsgruber@jku.at,Mechanik und Konstruktion,B1 - Bachelor 1. Jahr,Medical Engineering,Johannes Kepler Universität Linz,Bachelorstudium Medical Engineering 2019W,"laufende Mitarbeit bei den Besprechungen/Präsentationen der Hausaufgaben
schriftliche Abschlussprüfung","Vortrag in 10 Vorlesungseinheiten, für alle Gruppen gemeinsam
Hausaufgaben in Kleingruppen zu ca. 5 Personen zu bearbeiten und in (für jede Gruppe individuellen) Besprechnungsterminen zu präsentieren","Deutsch, in Gruppenarbeit bei Bedarf Englisch","Vorlesunsgsskripten ab Oktober verfügbar
Open-Source CAD-System in der Lehrveransaltung: FreeCAD (www.freecadweb.org)",Nein,
131.402,Legal Gender Studies und Antidiskriminierungsrecht,KV,Präsenz,Elisabeth Greif,2024W,"3,00","3,0",Mi. 23.10.24 12:45 - 15:15,200,169,12.0,German,I. Legal Gender Studies,,Zweiter Studienabschnitt,D - Diplom,Rechtswissenschaften,Johannes Kepler Universität Linz,Diplomstudium Rechtswissenschaften 2024W,"Schriftliche Lehrveranstaltungsprüfung. Möglichkeit zum Erwerb von Mitarbeitspunkten, die auf die Klausur angerechnet werden.","Interaktive Vorlesung (Vortrag, Diskussion, Fallbearbeitung)",Deutsch,"Greif/Ulrich, Legal Gender Studies und Antidiskriminierungsrecht ",Nein,
368.101,Lineare Algebra und Analytische Geometrie 1,VO,Präsenz,Manuel Kauers,2024W,"7,50","5,0",Mi. 23.10.24 10:15 - 11:45,100,50,40.0,German,I. Algebra,manuel.kauers@jku.at,Pflichtfächer,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Technische Mathematik 2023W,Schriftliche Prüfungen.,,Deutsch,Wird vom jeweiligen LVA-Leiter bekanntgegeben.,Nein,
256.751,Management der Digitalisierung und Einsatz betrieblicher Informationssysteme,UE,Präsenz,Roland Karlsböck,2024W,"3,00","2,0",Mi. 30.10.24 17:15 - 20:30,30,27,6.0,English,I. WI Information Engineering,roland.karlsboeck@jku.at,(*)Digitalization and Supply Chain Management,B1 - Bachelor 1. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre 2021W,Die Beurteilung des Moduls erfolgt gemeinsam für das Modul aufgrund von schriftlichen Prüfungen sowie Gruppenleistungen,"(*)Working on real-world examples (cases), applying methods and frameworks of digitalization, identifying the use of information systems in the case context. Group work and individual homework has to be fulfilled.",Deutsch / English,(*)Provided via KUSSS and Moodle in the beginning of the lecture.,Nein,Attending the exercise (Uebung) connected with this lecture in the same semester is obligatory.
324.822,Mathematics for AI III,VL,Präsenz,Krystian Kazaniecki,2024W,"6,00","4,0",Mi. 23.10.24 10:15 - 11:45,500,313,35.0,English,A. Funktionalanalysis,krystian.kazaniecki@jku.at,(*)Mathematics,B2 - Bachelor 2. Jahr,Artificial Intelligence,Johannes Kepler Universität Linz,Bachelorstudium Artificial Intelligence 2022W,(*)final exam,,Englisch,"(*)Manuscript, slides, videos and exercises+solutions can be found on Moodle.",Nein,
357.101,Mathematik 1,UE,Präsenz,Robert Pollak,2024W,"3,00","2,0",Do. 24.10.24 12:00 - 13:30,35,35,32.0,German,I. Math. Methoden Med. u. Datenbas. Mod.,info@m3dm.jku.at,Pflichtfächer,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2021W,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,wird in der Übung bekanntgegeben,Nein,keine
357.102,Mathematik 1,UE,Präsenz,Robert Pollak,2024W,"3,00","2,0",Do. 24.10.24 13:45 - 15:15,35,33,32.0,German,I. Math. Methoden Med. u. Datenbas. Mod.,info@m3dm.jku.at,Pflichtfächer,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2021W,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,wird in der Übung bekanntgegeben,Nein,keine
357.103,Mathematik 1,UE,Präsenz,Robert Pollak,2024W,"3,00","2,0",Do. 24.10.24 15:30 - 17:00,35,32,32.0,German,I. Math. Methoden Med. u. Datenbas. Mod.,info@m3dm.jku.at,Pflichtfächer,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2021W,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,wird in der Übung bekanntgegeben,Nein,keine
357.104,Mathematik 1,UE,Präsenz,Dmitry Efrosinin,2024W,"3,00","2,0",Do. 24.10.24 12:00 - 13:30,35,37,32.0,German,I. Math. Methoden Med. u. Datenbas. Mod.,info@m3dm.jku.at,Pflichtfächer,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2021W,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,wird in der Übung bekanntgegeben,Nein,keine
357.105,Mathematik 1,UE,Präsenz,Dmitry Efrosinin,2024W,"3,00","2,0",Do. 24.10.24 13:45 - 15:15,35,35,32.0,German,I. Math. Methoden Med. u. Datenbas. Mod.,info@m3dm.jku.at,Pflichtfächer,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2021W,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,wird in der Übung bekanntgegeben,Nein,keine
357.106,Mathematik 1,UE,Präsenz,Valentin Sturm,2024W,"3,00","2,0",Do. 24.10.24 12:00 - 13:30,35,34,32.0,German,I. Math. Methoden Med. u. Datenbas. Mod.,info@m3dm.jku.at,Pflichtfächer,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2021W,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,wird in der Übung bekanntgegeben,Nein,keine
