LVA-Nummer,Wochentag,Datum,Startzeit,Endzeit,Ort,Anmerkung,exam,test,tutorium
326.700,Di.,12.11.24,18:00,18:45,HS 18,Kurztest Modul 4 A-K,False,True,False
326.700,Di.,19.11.24,18:00,18:45,HS 18,Kurztest Modul 5 A-K,False,True,False
326.700,Di.,26.11.24,18:00,18:45,HS 18,Kurztest Modul 6 A-K,False,True,False
326.700,Di.,03.12.24,18:00,18:45,HS 18,Kurztest Modul 7 A-K,False,True,False
326.700,Di.,17.12.24,18:00,18:45,HS 18,Kurztest Modul 9 A-K,False,True,False
326.700,Di.,14.01.25,18:00,18:45,HS 18,Kurztest Modul 10 A-K,False,True,False
326.700,Di.,28.01.25,18:00,18:45,HS 18,Kurztest Modul 12 A-K,False,True,False
140.065,Fr.,20.12.24,15:30,17:00,HS 18,Klausur,True,False,False
382.028,Di.,01.10.24,12:45,15:15,HS 18,,False,False,False
382.028,Di.,08.10.24,12:45,15:15,HS 18,,False,False,False
382.028,Di.,15.10.24,12:45,15:15,HS 18,,False,False,False
382.028,Di.,22.10.24,12:45,15:15,HS 18,,False,False,False
382.028,Di.,05.11.24,12:45,15:15,HS 18,,False,False,False
382.028,Di.,12.11.24,12:45,15:15,HS 18,,False,False,False
382.028,Di.,19.11.24,12:45,15:15,HS 18,,False,False,False
382.028,Di.,26.11.24,12:45,15:15,HS 18,,False,False,False
382.028,Di.,03.12.24,12:45,15:15,HS 18,,False,False,False
382.028,Di.,10.12.24,12:45,15:15,HS 18,,False,False,False
382.028,Di.,17.12.24,12:45,15:15,HS 18,,False,False,False
382.028,Di.,07.01.25,12:45,15:15,HS 18,,False,False,False
382.028,Di.,14.01.25,12:45,15:15,HS 18,,False,False,False
382.028,Di.,21.01.25,12:45,15:15,HS 18,,False,False,False
382.028,Di.,28.01.25,12:45,15:15,HS 18,,False,False,False
335.022,Di.,01.10.24,08:30,10:00,HS 18,,False,False,False
335.022,Mi.,02.10.24,08:30,10:00,HS 18,,False,False,False
335.022,Di.,08.10.24,08:30,10:00,HS 18,,False,False,False
335.022,Mi.,09.10.24,08:30,10:00,HS 18,,False,False,False
335.022,Di.,15.10.24,08:30,10:00,HS 18,,False,False,False
335.022,Mi.,16.10.24,08:30,10:00,HS 18,,False,False,False
335.022,Di.,22.10.24,08:30,10:00,HS 18,,False,False,False
335.022,Mi.,23.10.24,08:30,10:00,HS 18,,False,False,False
335.022,Di.,29.10.24,08:30,10:00,HS 18,,False,False,False
335.022,Mi.,30.10.24,08:30,10:00,HS 18,,False,False,False
335.022,Di.,05.11.24,08:30,10:00,HS 18,,False,False,False
335.022,Mi.,06.11.24,08:30,10:00,HS 18,,False,False,False
335.022,Di.,12.11.24,08:30,10:00,HS 18,,False,False,False
335.022,Mi.,13.11.24,08:30,10:00,HS 18,,False,False,False
335.022,Di.,19.11.24,08:30,10:00,HS 18,,False,False,False
335.022,Mi.,20.11.24,08:30,10:00,HS 18,,False,False,False
335.022,Di.,26.11.24,08:30,10:00,HS 18,,False,False,False
335.022,Mi.,27.11.24,08:30,10:00,HS 18,,False,False,False
335.022,Di.,03.12.24,08:30,10:00,HS 18,,False,False,False
335.022,Mi.,04.12.24,08:30,10:00,HS 18,,False,False,False
335.022,Di.,10.12.24,08:30,10:00,HS 18,,False,False,False
335.022,Mi.,11.12.24,08:30,10:00,HS 18,,False,False,False
335.022,Di.,17.12.24,08:30,10:00,HS 18,,False,False,False
335.022,Mi.,18.12.24,08:30,10:00,HS 18,,False,False,False
335.022,Di.,07.01.25,08:30,10:00,HS 18,,False,False,False
335.022,Mi.,08.01.25,08:30,10:00,HS 18,,False,False,False
335.022,Di.,14.01.25,08:30,10:00,HS 18,,False,False,False
335.022,Mi.,15.01.25,08:30,10:00,HS 18,,False,False,False
335.022,Di.,21.01.25,08:30,10:00,HS 18,,False,False,False
335.022,Mi.,22.01.25,08:30,10:00,HS 18,,False,False,False
335.022,Di.,28.01.25,08:30,10:00,HS 18,,False,False,False
335.022,Mi.,29.01.25,08:30,10:00,HS 18,,False,False,False
343.324,Mi.,09.10.24,10:15,11:45,HS 18,L01 Introduction to SWE / L02 Dronology Overview,False,False,False
343.324,Mi.,16.10.24,10:15,11:45,HS 18,"L03 Requirements, Use Cases, and Scenarios",False,False,False
343.324,Mi.,23.10.24,10:15,11:45,HS 18,L04 Requirements Syntax and Traceability,False,False,False
343.324,Mi.,30.10.24,10:15,11:45,HS 18,L05 UML Design Modeling,False,False,False
343.324,Mi.,06.11.24,10:15,11:45,HS 18,L06 Design Choices,False,False,False
343.324,Mi.,13.11.24,10:15,11:45,HS 18,L07 Software Process,False,False,False
343.324,Mi.,20.11.24,10:15,11:45,HS 18,L08 Design Evolution,False,False,False
343.324,Mi.,27.11.24,10:15,11:45,HS 18,L09 Planning and Cost Estimation,False,False,False
343.324,Mi.,04.12.24,10:15,11:45,HS 18,L10 Verification and Validation,False,False,False
343.324,Mi.,11.12.24,10:15,11:45,HS 18,L11 Testing and Monitoring,False,True,False
343.324,Mi.,18.12.24,10:15,11:45,HS 18,L12 Software Reuse and Product Lines,False,False,False
343.324,Mi.,08.01.25,10:15,11:45,HS 18,L13 Designing in the Ilities,False,False,False
343.324,Mi.,15.01.25,10:15,11:45,HS 18,L14 Invited Talk,False,False,False
343.324,Mi.,22.01.25,10:15,11:45,HS 18,Exam,True,False,False
339.160,Mo.,27.01.25,08:30,10:00,HS 18,Klausur,True,False,False
250.231,Mi.,29.01.25,10:15,11:45,HS 18,Schlussklausur,True,False,False
238.213,Mo.,07.10.24,10:15,11:45,HS 18,Anwesenheitspflicht mit Unterschriftenliste,False,False,False
238.213,Mo.,14.10.24,10:15,11:45,HS 18,,False,False,False
238.213,Mo.,21.10.24,10:15,11:45,HS 18,,False,False,False
238.213,Mo.,28.10.24,10:15,11:45,HS 18,,False,False,False
238.213,Mo.,04.11.24,10:15,11:45,HS 18,,False,False,False
238.213,Mo.,11.11.24,10:15,11:45,HS 18,,False,False,False
238.213,Mo.,18.11.24,10:15,11:45,HS 18,,False,False,False
238.213,Mo.,25.11.24,10:15,11:45,HS 18,,False,False,False
238.213,Mo.,02.12.24,10:15,11:45,HS 18,,False,False,False
238.213,Mo.,09.12.24,10:15,11:45,HS 18,,False,False,False
238.213,Mo.,16.12.24,10:15,11:45,HS 18,,False,False,False
238.213,Mo.,13.01.25,10:15,11:45,HS 18,,False,False,False
238.213,Mo.,20.01.25,10:15,11:45,HS 18,,False,False,False
238.213,Fr.,24.01.25,13:45,15:15,HS 18,Klausur (Hörsaal wird zugeteilt),True,False,False
238.217,Fr.,24.01.25,13:45,15:15,HS 18,Klausur (Hörsaal wird zugeteilt),True,False,False
238.221,Fr.,24.01.25,13:45,15:15,HS 18,Klausur (Hörsaal wird zugeteilt),True,False,False
136.415,Di.,19.11.24,10:15,12:45,HS 18,,False,False,False
339.022,Do.,10.10.24,13:45,15:15,HS 18,,False,False,False
339.022,Do.,17.10.24,13:45,15:15,HS 18,,False,False,False
339.022,Do.,24.10.24,13:45,15:15,HS 18,,False,False,False
339.022,Do.,31.10.24,13:45,15:15,HS 18,,False,False,False
339.022,Do.,07.11.24,13:45,15:15,HS 18,,False,False,False
339.022,Do.,14.11.24,13:45,15:15,HS 18,,False,False,False
339.022,Do.,21.11.24,13:45,15:15,HS 18,,False,False,False
339.022,Do.,28.11.24,13:45,15:15,HS 18,,False,False,False
339.022,Do.,05.12.24,13:45,15:15,HS 18,,False,False,False
339.022,Do.,12.12.24,13:45,15:15,HS 18,Klausur,True,False,False
359.002,Fr.,22.11.24,13:45,15:15,HS 18,1. Übungstest,False,True,False
359.003,Fr.,22.11.24,13:45,15:15,HS 18,1. Übungstest,False,True,False
359.004,Fr.,22.11.24,13:45,15:15,HS 18,1. Übungstest,False,True,False
359.005,Fr.,22.11.24,13:45,15:15,HS 18,1. Übungstest,False,True,False
359.006,Fr.,22.11.24,13:45,15:15,HS 18,1. Übungstest,False,True,False
359.007,Fr.,22.11.24,13:45,15:15,HS 18,1. Übungstest,False,True,False
370.006,Fr.,13.12.24,12:00,13:30,HS 18,1. Teilklausur,True,False,False
370.002,Do.,03.10.24,10:15,11:45,HS 18,,False,False,False
370.002,Do.,10.10.24,10:15,11:45,HS 18,,False,False,False
370.002,Do.,24.10.24,10:15,11:45,HS 18,,False,False,False
370.002,Do.,31.10.24,10:15,11:45,HS 18,,False,False,False
370.002,Do.,07.11.24,10:15,11:45,HS 18,,False,False,False
370.002,Do.,14.11.24,10:15,11:45,HS 18,,False,False,False
370.002,Do.,21.11.24,10:15,11:45,HS 18,,False,False,False
370.002,Do.,28.11.24,10:15,11:45,HS 18,,False,False,False
370.002,Do.,05.12.24,10:15,11:45,HS 18,,False,False,False
370.002,Do.,12.12.24,10:15,11:45,HS 18,,False,False,False
370.002,Do.,19.12.24,10:15,11:45,HS 18,,False,False,False
370.002,Do.,09.01.25,10:15,11:45,HS 18,,False,False,False
370.002,Do.,16.01.25,10:15,11:45,HS 18,,False,False,False
370.002,Do.,23.01.25,10:15,11:45,HS 18,,False,False,False
370.002,Do.,30.01.25,10:15,11:45,HS 18,,False,False,False
267.022,Fr.,13.12.24,08:30,11:45,HS 18,Klausur,True,False,False
367.031,Do.,30.01.25,13:45,15:15,HS 18,Klausur,True,False,False
367.045,Do.,30.01.25,13:45,15:15,HS 18,Klausur,True,False,False
300.950,Do.,20.02.25,12:00,15:15,HS 18,Präsentation Seminararbeiten,False,False,False
300.950,Fr.,21.02.25,12:00,15:15,HS 18,Präsentation Seminararbeiten,False,False,False
237.002,Do.,10.10.24,18:00,20:30,HS 18,,False,False,False
237.002,Do.,24.10.24,18:00,20:30,HS 18,,False,False,False
237.002,Do.,07.11.24,18:00,20:30,HS 18,,False,False,False
237.002,Do.,21.11.24,18:00,20:30,HS 18,,False,False,False
237.002,Do.,05.12.24,18:00,20:30,HS 18,,False,False,False
237.002,Do.,12.12.24,18:00,19:45,HS 18,,False,False,False
237.002,Do.,09.01.25,18:00,20:30,HS 18,,False,False,False
237.002,Do.,16.01.25,18:00,20:30,HS 18,,False,False,False
237.002,Do.,23.01.25,18:00,20:30,HS 18,"schriftliche Klausur, 1. Antritt",True,False,False
140.130,Fr.,28.02.25,12:00,13:30,HS 18,NACHKLAUSUR,True,False,False
