LVA-Nummer,Wochentag,Datum,Startzeit,Endzeit,Ort,Anmerkung,exam,test,tutorium
239.141,Mi.,20.03.24,08:30,10:00,HS 19,,False,False,False
239.141,Di.,16.04.24,13:45,15:15,HS 15,,False,False,False
239.141,Di.,23.04.24,13:45,15:15,HS 15,,False,False,False
239.141,Di.,30.04.24,13:45,15:15,HS 15,Zoom link: https://jku.zoom.us/j/93861824910?pwd=amZaK0lBR25hZkZHQnM3UFFxQzdLZz09,True,False,False
239.141,Di.,07.05.24,13:45,15:15,HS 15,,False,False,False
239.141,Di.,14.05.24,13:45,15:15,HS 15,,False,False,False
239.141,Di.,28.05.24,13:45,15:15,HS 15,,False,False,False
239.141,Di.,04.06.24,13:45,15:15,HS 15,Zoom link: https://jku.zoom.us/j/93861824910?pwd=amZaK0lBR25hZkZHQnM3UFFxQzdLZz09,True,False,False
239.141,Di.,11.06.24,13:45,15:15,HS 15,,False,False,False
239.141,Di.,18.06.24,13:45,15:15,HS 15,,False,False,False
239.141,Di.,25.06.24,13:45,15:15,HS 7,Final exam; last names beginning with E-Z,True,False,False
239.141,Di.,25.06.24,13:45,15:15,K 269D,Final exam; last names beginning with A-D,True,False,False
239.141,Mi.,10.07.24,13:45,15:15,HS 18,NK,True,False,False
239.141,Mi.,04.09.24,12:00,13:30,HS 4,NK,True,False,False
380.003,Di.,12.03.24,15:30,16:15,MT 127,,False,False,False
380.003,Di.,19.03.24,15:30,16:15,Zoom-Lecture,,False,False,False
380.003,Do.,11.04.24,17:15,18:00,Zoom-Lecture,,False,False,False
380.003,Do.,18.04.24,17:15,18:00,Zoom-Lecture,,False,False,False
380.003,Do.,25.04.24,17:15,18:00,Zoom-Lecture,,False,False,False
380.003,Do.,02.05.24,17:15,18:00,Zoom-Lecture,,False,False,False
380.003,Do.,16.05.24,17:15,18:00,Zoom-Lecture,,False,False,False
380.003,Do.,23.05.24,17:15,18:00,Zoom-Lecture,,False,False,False
380.003,Do.,06.06.24,17:15,18:00,Zoom-Lecture,,False,False,False
380.003,Do.,20.06.24,17:15,18:00,Zoom-Lecture,,False,False,False
380.003,Do.,27.06.24,17:15,18:00,Zoom-Lecture,,False,False,False
380.003,Fr.,28.06.24,10:15,11:45,MT 128,1. Klausur,True,False,False
380.003,Fr.,19.07.24,10:15,11:45,HS 19,2. Klausur,True,False,False
380.003,Fr.,20.09.24,10:15,11:45,BA 9908,3. Klausur,True,False,False
364.000,Di.,05.03.24,13:45,15:15,HS 18,Introduction and Course Overview,False,False,False
364.000,Di.,12.03.24,13:45,15:15,HS 18,Transformations and Projections,False,False,False
364.000,Di.,19.03.24,13:45,15:15,HS 18,Raster Algorithms and Depth Handling,False,False,False
364.000,Di.,09.04.24,13:45,15:15,HS 18,Local Shading and Illumination,False,False,False
364.000,Di.,16.04.24,13:45,15:15,HS 18,Texture Mapping Basics,False,False,False
364.000,Di.,23.04.24,13:45,15:15,HS 18,Advanced Texture Mapping & Graphics Pipelines,False,False,False
364.000,Di.,30.04.24,13:45,15:15,HS 18,Intermediate Exam,True,False,False
364.000,Di.,07.05.24,13:45,15:15,HS 18,Global Illumination I: Raytracing,False,False,False
364.000,Di.,14.05.24,13:45,15:15,HS 18,Global Illumination II: Radiosity,False,False,False
364.000,Di.,28.05.24,13:45,15:15,HS 18,Volume Rendering,False,False,False
364.000,Di.,04.06.24,13:45,15:15,HS 18,Scientific Data Visualization,False,False,False
364.000,Di.,11.06.24,13:45,15:15,HS 18,Curves and Surfaces,False,False,False
364.000,Di.,18.06.24,13:45,15:15,HS 18,Basics of Animation,False,False,False
364.000,Di.,25.06.24,13:45,15:15,HS 18,Final Exam,True,False,False
364.000,Di.,01.10.24,13:45,15:15,HS 19,Retry Exam,True,False,False
231.117,Mi.,06.03.24,08:30,10:00,HS 3,,False,False,False
231.117,Mi.,13.03.24,08:30,10:00,HS 3,,False,False,False
231.117,Mi.,20.03.24,08:30,10:00,HS 3,,False,False,False
231.117,Mi.,10.04.24,08:30,10:00,HS 3,,False,False,False
231.117,Mi.,17.04.24,08:30,10:00,HS 3,,False,False,False
231.117,Mi.,24.04.24,08:30,10:00,HS 3,,False,False,False
231.117,Mi.,08.05.24,08:30,10:00,HS 3,,False,False,False
231.117,Mi.,15.05.24,08:30,10:00,HS 19,,False,False,False
231.117,Mi.,22.05.24,08:30,10:00,HS 3,,False,False,False
231.117,Mi.,29.05.24,08:30,10:00,HS 3,,False,False,False
231.117,Mi.,05.06.24,08:30,10:00,HS 3,,False,False,False
231.117,Mi.,12.06.24,08:30,10:00,HS 3,,False,False,False
231.117,Mi.,19.06.24,08:30,10:00,HS 3,Klausur,True,False,False
231.117,Mi.,26.06.24,08:30,10:00,HS 3,,False,False,False
231.117,Mi.,11.09.24,15:30,16:30,K033C,Nachklausur,True,False,False
231.117,Mi.,11.09.24,15:30,16:30,K 033C,,False,False,False
266.002,Mo.,11.03.24,10:15,11:45,HS 15,"Anwesenheitspflicht 1. Termin, Nichterscheinen führt zum Ausschluss aus dem Kurs",False,False,False
266.002,Mo.,18.03.24,10:15,11:45,HS 9,Organization,False,False,False
266.002,Mo.,08.04.24,10:15,11:45,HS 6,Organization Structure,False,False,False
266.002,Mo.,15.04.24,10:15,11:45,HS 15,Motivation,False,False,False
266.002,Mo.,22.04.24,10:15,11:45,HS 7,Social Networks,False,False,False
266.002,Mo.,29.04.24,10:15,11:45,HS 9,Power,False,False,False
266.002,Mo.,06.05.24,10:15,11:45,HS 9,Reflections,False,False,False
266.002,Mi.,22.05.24,19:00,20:30,HS 1,Practice Talk I,False,False,False
266.002,Mi.,05.06.24,19:00,20:30,HS 1,Practice Talk II,False,False,False
266.002,Fr.,07.06.24,14:00,18:30, ,Hackathon,False,False,False
266.002,Mo.,17.06.24,10:15,11:45,HS 19,De-brief: Hackathon,False,False,False
266.002,Fr.,21.06.24,13:45,15:15,HS 1,Exam,True,False,False
266.002,Fr.,13.09.24,13:45,15:15,HS 1,Retake Exam,True,False,False
380.020,Do.,07.03.24,15:30,17:00,S2 048,,False,False,False
380.020,Do.,14.03.24,15:30,17:00,S2 048,,False,False,False
380.020,Do.,21.03.24,15:30,17:00,S2 048,,False,False,False
380.020,Do.,11.04.24,15:30,17:00,S2 048,,False,False,False
380.020,Do.,18.04.24,15:30,17:00,S2 048,,False,False,False
380.020,Do.,25.04.24,15:30,17:00,S2 048,,False,False,False
380.020,Do.,02.05.24,15:30,17:00,S2 048,,False,False,False
380.020,Do.,16.05.24,15:30,17:00,S2 048,,False,False,False
380.020,Do.,23.05.24,15:30,17:00,S2 048,,False,False,False
380.020,Do.,06.06.24,15:30,17:00,S2 048,,False,False,False
380.020,Do.,13.06.24,15:30,17:00,S2 048,,False,False,False
380.020,Do.,20.06.24,15:30,17:00,S2 048,,False,False,False
380.020,Do.,27.06.24,15:30,17:00,S2 048,1. Klausur,True,False,False
380.020,Do.,11.07.24,15:30,17:00,HS 19,2. Klausur,True,False,False
380.020,Mi.,20.11.24,13:00,14:30,S2 120,3. Klausur,True,False,False
239.203,Mo.,04.03.24,10:15,11:45,K 153C,,False,False,False
239.203,Mo.,11.03.24,10:15,11:45,K 153C,,False,False,False
239.203,Mo.,18.03.24,10:15,11:45,K 153C,,False,False,False
239.203,Mo.,08.04.24,10:15,11:45,K 153C,,False,False,False
239.203,Mo.,15.04.24,10:15,11:45,K 153C,,False,False,False
239.203,Mo.,22.04.24,10:15,11:45,K 153C,,False,False,False
239.203,Mo.,29.04.24,10:15,11:45,K 153C,,False,False,False
239.203,Mo.,06.05.24,10:15,11:45,K 153C,,False,False,False
239.203,Mo.,13.05.24,10:15,11:45,K 153C,,False,False,False
239.203,Mo.,27.05.24,10:15,11:45,K 153C,,False,False,False
239.203,Mo.,03.06.24,10:15,11:45,K 153C,,False,False,False
239.203,Mo.,10.06.24,10:15,11:45,K 153C,,False,False,False
239.203,Mo.,17.06.24,10:15,11:45,K 153C,,False,False,False
239.203,Mo.,24.06.24,12:00,13:30,HS 10,Klausur,True,False,False
239.203,Do.,19.09.24,15:30,17:00,HS 19,Nachklausur,True,False,False
239.204,Mo.,04.03.24,12:00,13:30,K 269D,,False,False,False
239.204,Mo.,11.03.24,12:00,13:30,K 269D,,False,False,False
239.204,Mo.,18.03.24,12:00,13:30,K 269D,,False,False,False
239.204,Mo.,08.04.24,12:00,13:30,K 269D,,False,False,False
239.204,Mo.,15.04.24,12:00,13:30,K 269D,,False,False,False
239.204,Mo.,22.04.24,12:00,13:30,K 269D,,False,False,False
239.204,Mo.,29.04.24,12:00,13:30,K 269D,,False,False,False
239.204,Mo.,06.05.24,12:00,13:30,K 269D,,False,False,False
239.204,Mo.,13.05.24,12:00,13:30,K 269D,,False,False,False
239.204,Mo.,27.05.24,12:00,13:30,K 269D,,False,False,False
239.204,Mo.,03.06.24,12:00,13:30,K 269D,,False,False,False
239.204,Mo.,10.06.24,12:00,13:30,K 269D,,False,False,False
239.204,Mo.,17.06.24,12:00,13:30,K 269D,,False,False,False
239.204,Mo.,24.06.24,12:00,13:30,HS 10,Klausur,True,False,False
239.204,Do.,19.09.24,15:30,17:00,HS 19,Nachklausur,True,False,False
239.706,Fr.,08.03.24,08:30,10:00,MZ 003A,,False,False,False
239.706,Fr.,15.03.24,08:30,10:00,MZ 003A,,False,False,False
239.706,Fr.,22.03.24,08:30,10:00,MZ 003A,,False,False,False
239.706,Fr.,12.04.24,08:30,10:00,MZ 003A,,False,False,False
239.706,Fr.,19.04.24,08:30,10:00,MZ 003A,,False,False,False
239.706,Fr.,03.05.24,08:30,10:00,MZ 003A,,False,False,False
239.706,Fr.,17.05.24,08:30,10:00,MZ 003A,,False,False,False
239.706,Fr.,31.05.24,08:30,10:00,MZ 003A,,False,False,False
239.706,Fr.,07.06.24,08:30,10:00,MZ 003A,,False,False,False
239.706,Fr.,07.06.24,10:15,11:45,HS 17,,False,False,False
239.706,Fr.,21.06.24,08:30,10:00,MZ 003A,,False,False,False
239.706,Fr.,28.06.24,08:30,10:00,HS 19,Klausur,True,False,False
239.706,Fr.,27.09.24,08:30,10:00,HS 6,Nachklausur,True,False,False
362.064,Mo.,04.03.24,12:00,14:30,K 033C,Einführungsveranstaltung: Vorstellung der im SS24 angebotenen LVAs und ausgewählter BA/MA-Arbeitsthemen.,False,False,False
362.064,Fr.,15.03.24,08:30,10:00,MT 226,Magnetkreis 1 (Dobler),True,False,False
362.064,Fr.,22.03.24,08:30,10:00,MT 226,Magnetkreis 2 (Dobler),True,False,False
362.064,Fr.,12.04.24,08:30,10:00,MT 226,Gleichstrommaschine 1 (Weissitsch),False,False,False
362.064,Fr.,19.04.24,08:30,10:00,MT 226,Gleichstrommaschine 2 (Weissitsch),False,False,False
362.064,Fr.,26.04.24,10:15,11:45,HS 19,Tutorium 1. TK,True,False,True
362.064,Mo.,29.04.24,10:15,11:45,S2 048,Sprechstunde 1. TK,True,False,True
362.064,Sa.,04.05.24,09:15,11:45,HS 1,1. TK,True,False,False
362.064,Fr.,10.05.24,08:30,10:00,MT 226,Asynchronmaschine 1 (Mallinger),False,False,False
362.064,Fr.,17.05.24,08:30,10:00,MT 226,Asynchronmaschine 2 (Mallinger),False,False,False
362.064,Fr.,24.05.24,08:30,10:00,HS 19,Synchronmaschine 1 (Krainer),False,False,False
362.064,Fr.,31.05.24,08:30,11:00,K 033C,Asynchronmaschine 2 Ersatztermin (Mallinger),False,False,False
362.064,Fr.,07.06.24,08:30,10:00,MT 226,Synchronmaschine 2 (Krainer),False,False,False
362.064,Fr.,14.06.24,10:15,11:45,HS 19,Tutorium 2. TK,True,False,True
362.064,Mo.,17.06.24,10:15,11:45,S2 048,Sprechstunde 2. TK,True,False,True
362.064,Sa.,22.06.24,09:15,11:45,HS 1,2. TK,True,False,False
362.064,Fr.,20.09.24,09:15,11:45,HS 18,"Tutorium 3. TK (findet NICHT im HS 18 statt, sondern über ZOOM, Zugangsdaten im MOODLE)",True,False,True
362.064,Sa.,28.09.24,09:15,11:45,HS 1,Nachtest (Gesamter Lehrinhalt),False,True,False
362.065,Mo.,04.03.24,12:00,14:15,K 033C,Einführungsveranstaltung: Vorstellung der im SS24 angebotenen LVAs und ausgewählter BA/MA-Arbeitsthemen.,False,False,False
362.065,Fr.,15.03.24,10:15,11:45,MT 226,Magnetkreis 1 (Dobler),True,False,False
362.065,Fr.,22.03.24,10:15,11:45,MT 226,Magnetkreis 2 (Dobler),True,False,False
362.065,Fr.,12.04.24,10:15,11:45,MT 226,Gleichstrommaschine 1 (Weissitsch),False,False,False
362.065,Fr.,19.04.24,10:15,11:45,MT 226,Gleichstrommaschine 2 (Weissitsch),False,False,False
362.065,Fr.,26.04.24,10:15,11:45,HS 19,Tutorium 1. TK,True,False,True
362.065,Mo.,29.04.24,10:15,11:45,S2 048,Sprechstunde 1. TK,True,False,True
362.065,Sa.,04.05.24,09:15,11:45,HS 1,1. TK,True,False,False
362.065,Fr.,10.05.24,10:15,11:45,MT 226,Asynchronmaschine 1 (Mallinger),False,False,False
362.065,Fr.,17.05.24,10:15,11:45,MT 226,Asynchronmaschine 2 (Mallinger),False,False,False
362.065,Fr.,24.05.24,10:15,11:45,HS 19,Synchronmaschine 1 (Krainer),False,False,False
362.065,Fr.,31.05.24,08:30,11:00,K 033C,Asynchronmaschine 2 Ersatztermin (Mallinger),False,False,False
362.065,Fr.,07.06.24,10:15,11:45,MT 226,Synchronmaschine 2 (Krainer),False,False,False
362.065,Fr.,14.06.24,10:15,11:45,HS 19,Tutorium 2. TK,True,False,True
362.065,Mo.,17.06.24,10:15,11:45,S2 048,Sprechstunde 2. TK,True,False,True
362.065,Sa.,22.06.24,09:15,11:45,HS 1,2. TK,True,False,False
362.065,Fr.,20.09.24,09:15,11:45,HS 18,"Tutorium 3. TK (findet NICHT im HS 18 statt, sondern über ZOOM, Zugangsdaten im MOODLE)",True,False,True
362.065,Sa.,28.09.24,09:15,11:45,HS 1,Nachtest (Gesamter Lehrinhalt),False,True,False
362.066,Mo.,04.03.24,12:00,14:30,K 033C,Einführungsveranstaltung: Vorstellung der im SS24 angebotenen LVAs und ausgewählter BA/MA-Arbeitsthemen.,False,False,False
362.066,Fr.,15.03.24,12:45,14:30,MT 226,Magnetkreis 1 (Dobler),True,False,False
362.066,Fr.,22.03.24,12:45,14:30,MT 226,Magnetkreis 2 (Dobler),True,False,False
362.066,Fr.,12.04.24,12:45,14:30,MT 226,Gleichstrommaschine 1 (Weissitsch),False,False,False
362.066,Fr.,19.04.24,12:45,14:30,MT 226,Gleichstrommaschine 2 (Weissitsch),False,False,False
362.066,Fr.,26.04.24,10:15,11:45,HS 19,Tutorium 1. TK,True,False,True
362.066,Mo.,29.04.24,10:15,11:45,S2 048,Sprechstunde 1. TK,True,False,True
362.066,Sa.,04.05.24,09:15,11:45,HS 1,1. TK,True,False,False
362.066,Fr.,10.05.24,12:45,14:30,MT 226,Asynchronmaschine 1 (Mallinger),False,False,False
362.066,Fr.,17.05.24,12:45,14:30,MT 226,Asynchronmaschine 2 (Mallinger),False,False,False
362.066,Fr.,24.05.24,12:45,14:30,HS 19,Synchronmaschine 1 (Krainer),False,False,False
362.066,Fr.,31.05.24,08:30,11:00,K 033C,Asynchronmaschine 2 Ersatztermin (Mallinger),False,False,False
362.066,Fr.,07.06.24,12:45,14:30,MT 226,Synchronmaschine 2 (Krainer),False,False,False
362.066,Fr.,14.06.24,10:15,11:45,HS 19,Tutorium 2. TK,True,False,True
362.066,Mo.,17.06.24,10:15,11:45,S2 048,Sprechstunde 2.TK,True,False,True
362.066,Sa.,22.06.24,09:15,11:45,HS 1,2. TK,True,False,False
362.066,Fr.,20.09.24,09:15,11:45,HS 18,"Tutorium 3. TK (findet NICHT im HS 18 statt, sondern über ZOOM, Zugangsdaten im MOODLE)",True,False,True
362.066,Sa.,28.09.24,09:15,11:45,HS 1,Nachtest (Gesamter Lehrinhalt),False,True,False
362.068,Mo.,04.03.24,12:00,14:30,K 033C,Einführungsveranstaltung: Vorstellung der im SS24 angebotenen LVAs und ausgewählter BA/MA-Arbeitsthemen.,False,False,False
362.068,Mo.,18.03.24,10:15,11:45,S2 048,Magnetkreis 1 (Dobler),True,False,False
362.068,Mo.,08.04.24,10:15,11:45,S2 048,Magnetkreis 2 (Dobler),True,False,False
362.068,Mo.,15.04.24,10:15,11:45,S2 048,Gleichstrommaschine 1 (Weissitsch),False,False,False
362.068,Mo.,22.04.24,10:15,11:45,S2 048,Gleichstrommaschine 2 (Weissitsch),False,False,False
362.068,Fr.,26.04.24,10:15,11:45,HS 19,Tutorium 1. TK,True,False,True
362.068,Mo.,29.04.24,10:15,11:45,S2 048,Sprechstunde 1. TK,True,False,True
362.068,Sa.,04.05.24,09:15,11:45,HS 1,1. TK,True,False,False
362.068,Mo.,13.05.24,10:15,11:45,S2 048,Asynchronmaschine 1 (Mallinger),False,False,False
362.068,Mo.,27.05.24,10:15,11:45,S2 048,Asynchronmaschine 2 (Mallinger),False,False,False
362.068,Mo.,03.06.24,10:15,11:45,S2 048,Synchronmaschine 1 (Krainer),False,False,False
362.068,Mo.,10.06.24,10:15,11:45,S2 048,Synchronmaschine 2 (Krainer),False,False,False
362.068,Fr.,14.06.24,10:15,11:45,HS 19,Tutorium 2. TK,True,False,True
362.068,Mo.,17.06.24,10:15,11:45,S2 048,Sprechstunde 2. TK,True,False,True
362.068,Sa.,22.06.24,09:15,11:45,HS 1,2. TK,True,False,False
362.068,Fr.,20.09.24,09:15,11:45,HS 18,"Tutorium 3. TK (findet NICHT im HS 18 statt, sondern über ZOOM, Zugangsdaten im MOODLE)",True,False,True
362.068,Sa.,28.09.24,09:15,11:45,HS 1,Nachtest (Gesamter Lehrinhalt),False,True,False
362.073,Mo.,04.03.24,12:00,14:30,K 033C,Einführungsveranstaltung: Vorstellung der im SS24 angebotenen LVAs und ausgewählter BA/MA-Arbeitsthemen.,False,False,False
362.073,Mo.,18.03.24,10:15,11:45,S2 048,Magnetkreis 1 (Dobler),True,False,False
362.073,Mo.,08.04.24,10:15,11:45,S2 048,Magnetkreis 2 (Dobler),True,False,False
362.073,Mo.,15.04.24,10:15,11:45,S2 048,Gleichstrommaschine 1 (Weissitsch),False,False,False
362.073,Mo.,22.04.24,10:15,11:45,S2 048,Gleichstrommaschine 2 (Weissitsch),False,False,False
362.073,Fr.,26.04.24,10:15,11:45,HS 19,Tutorium 1. TK,True,False,True
362.073,Mo.,29.04.24,10:15,11:45,S2 048,Sprechstunde 1. TK,True,False,True
362.073,Sa.,04.05.24,09:15,11:45,HS 1,1. TK,True,False,False
362.073,Mo.,13.05.24,10:15,11:45,S2 048,Asynchronmaschine 1 (Mallinger),False,False,False
362.073,Mo.,27.05.24,10:15,11:45,S2 048,Asynchronmaschine 2 (Mallinger),False,False,False
362.073,Mo.,03.06.24,10:15,11:45,S2 048,Synchronmaschine 1 (Krainer),False,False,False
362.073,Mo.,10.06.24,10:15,11:45,S2 048,Synchronmaschine 2 (Krainer),False,False,False
362.073,Fr.,14.06.24,10:15,11:45,HS 19,Tutorium 2. TK,True,False,True
362.073,Mo.,17.06.24,10:15,11:45,S2 048,Sprechstunde 2. TK,True,False,True
362.073,Sa.,22.06.24,09:15,11:45,HS 1,2. TK,True,False,False
362.073,Fr.,20.09.24,09:15,11:45,HS 18,"Tutorium 3. TK (findet NICHT im HS 18 statt, sondern über ZOOM, Zugangsdaten im MOODLE)",True,False,True
362.073,Sa.,28.09.24,09:15,11:45,HS 1,Nachtest (Gesamter Lehrinhalt),False,True,False
335.003,Mo.,04.03.24,10:15,11:45,HS 3,,False,False,False
335.003,Mo.,11.03.24,10:15,11:45,HS 3,,False,False,False
335.003,Mo.,18.03.24,10:15,11:45,HS 3,,False,False,False
335.003,Mo.,08.04.24,10:15,11:45,HS 3,,False,False,False
335.003,Mo.,15.04.24,10:15,11:45,HS 3,,False,False,False
335.003,Mo.,22.04.24,10:15,11:45,HS 3,,False,False,False
335.003,Mo.,29.04.24,10:15,11:45,HS 3,,False,False,False
335.003,Mo.,06.05.24,10:15,11:45,HS 3,,False,False,False
335.003,Mo.,27.05.24,10:15,11:45,HS 3,,False,False,False
335.003,Mo.,03.06.24,10:15,11:45,HS 3,,False,False,False
335.003,Do.,27.06.24,17:15,18:45,MT 226/1,Tutorium,False,False,True
335.003,Mi.,03.07.24,13:00,16:00,HS 19,Klausur,True,False,False
335.003,Mi.,09.10.24,17:15,20:30,HS 5,Nachklausur,True,False,False
335.003,Mi.,11.12.24,17:15,20:30,HS 5,Nachklausur,True,False,False
252.031,Mo.,11.03.24,13:45,15:15,HS 15,"LV-Konzept, Aufbau Reflexionen, Einführung Ethik",False,False,False
252.031,Mo.,18.03.24,13:45,15:15,HS 15,"Gastvortrag 1: Dr. Andreas Göttfert, Kapitalmarkt und Ethik",False,False,False
252.031,Mo.,08.04.24,13:45,15:15,HS 15,"Gastvortrag 2: Dr. Silvia Payer-Langthaler, Nachhaltigkeit und CSR",False,False,False
252.031,Mo.,15.04.24,00:00,23:59, ,Abgabe Reflexion 1,False,False,False
252.031,Mo.,15.04.24,13:45,15:15,HS 15,"Gastvortrag 3: Ass.-Prof. Dr. Silvia Traunwieser, Digitalisierung und Ethik",False,False,False
252.031,Mo.,22.04.24,15:30,17:00,HS 19,Reflexion in Kleingruppen,False,False,False
252.031,Mo.,06.05.24,13:45,15:15,MT 127,"Gastvortrag 4: Ass.-Prof. Dr. Albert Traxler, Sustainability Reporting and Control",False,False,False
252.031,Mo.,13.05.24,13:45,15:15,HS 6,"Gastvortrag 5: Herr Otto Hirsch, Soziales Engagement von Unternehmen",False,False,False
252.031,Fr.,31.05.24,00:00,23:59, ,Abgabe Reflexion (gesamt),False,False,False
383.028,Fr.,08.03.24,12:00,13:30,HS 19,,False,False,False
383.028,Fr.,15.03.24,12:00,13:30,HS 19,,False,False,False
383.028,Fr.,22.03.24,12:00,13:30,HS 19,,False,False,False
383.028,Fr.,12.04.24,12:00,13:30,HS 19,,False,False,False
383.028,Fr.,07.06.24,12:00,13:30,HS 19,,False,False,False
531.240,Do.,07.03.24,13:45,14:30,HS 19,,False,False,False
531.240,Do.,07.03.24,14:30,15:15,HS 19,,False,False,False
531.240,Do.,14.03.24,13:45,14:30,HS 19,,False,False,False
531.240,Do.,14.03.24,14:30,15:15,HS 19,,False,False,False
531.240,Di.,19.03.24,11:00,13:35,PHDL/AS12,GAM,False,False,False
531.240,Do.,21.03.24,13:45,14:30,HS 19,,False,False,False
531.240,Do.,21.03.24,14:30,15:15,HS 19,,False,False,False
531.240,Di.,09.04.24,11:00,13:35,PHDL/AS12,GAM,False,False,False
531.240,Do.,11.04.24,13:45,14:30,HS 19,,False,False,False
531.240,Do.,11.04.24,14:30,15:15,HS 19,,False,False,False
531.240,Do.,18.04.24,13:45,14:30,HS 19,,False,False,False
531.240,Do.,18.04.24,14:30,15:15,HS 19,,False,False,False
531.240,Do.,25.04.24,13:45,14:30,HS 19,,False,False,False
531.240,Do.,25.04.24,14:30,15:15,HS 19,,False,False,False
531.240,Di.,30.04.24,11:00,13:35,PHDL/AS12,GAM,False,False,False
531.240,Do.,02.05.24,13:45,14:30,HS 19,,False,False,False
531.240,Do.,02.05.24,14:30,15:15,HS 19,"1. Test, Nachname A - R",False,True,False
531.240,Di.,14.05.24,11:00,13:35,PHDL/AS12,GAM,False,False,False
531.240,Do.,16.05.24,13:45,14:30,HS 19,,False,False,False
531.240,Do.,16.05.24,14:30,15:15,HS 19,,False,False,False
531.240,Do.,23.05.24,13:45,14:30,HS 19,,False,False,False
531.240,Do.,23.05.24,14:30,15:15,HS 19,,False,False,False
531.240,Do.,23.05.24,15:30,16:15,HS 18,1. Nachtest,False,True,False
531.240,Di.,04.06.24,11:00,13:35,PHDL/AS12,GAM,False,False,False
531.240,Do.,06.06.24,13:45,14:30,HS 19,,False,False,False
531.240,Do.,06.06.24,14:30,15:15,HS 19,,False,False,False
531.240,Do.,13.06.24,13:45,14:30,HS 19,,False,False,False
531.240,Do.,13.06.24,14:30,15:15,HS 19,,False,False,False
531.240,Do.,20.06.24,13:45,14:30,HS 19,,False,False,False
531.240,Do.,20.06.24,14:30,15:15,HS 19,,False,False,False
531.240,Do.,27.06.24,13:45,14:30,HS 19,2. Test,False,True,False
531.240,Do.,27.06.24,13:45,14:30,HS 17,2. Test,False,True,False
531.240,Do.,11.07.24,13:45,14:30,HS 19,2. Nachtest,False,True,False
